Marka;Nadwozie;Silnik;Kolor;Cena;Rok Zakupu;Plec Kupujacego;Wiek Kupujacego;Stan
Dodge;Minivan;2.5;Zielony;303120;2008;K;63;North Dakota
Dodge;Kabriolet;4.5;Bialy;459750;2010;M;70;Oregon
Nissan;Hatch-back;4.0;Fioletowy;48254;2010;M;55;Missouri
Chrysler;Kabriolet;3.0;Niebieski;171106;2020;M;50;Montana
Mercedes;Kabriolet;2.5;Zolty;176170;2019;M;28;Alaska
Dodge;Cupe;4.5;Srebrny;374314;2012;M;70;Texas
Toyota;Sedan;2.5;Zolty;280887;2020;M;70;Vermont
Mercedes;Sedan;2.5;Fioletowy;297015;2011;M;49;Montana
Chrysler;Sedan;2.0;Czerwony;444972;2009;M;33;Alabama
Ford;Minivan;2.0;Zielony;86980;2009;K;35;Missouri
Audi;Cupe;1.5;Czarny;184165;2008;K;40;DC
Chevrolet;Sedan;1.5;Szary;295396;2019;K;68;Nevada
Chrysler;Minivan;2.0;Rozowy;333059;2010;M;47;Georgia
Toyota;Pick-up;1.5;Zielony;394092;2008;M;48;DC
Dodge;Cupe;4.5;Czarny;446245;2014;K;43;Nebraska
Volkswagen;SUV;4.5;Czerwony;384945;2019;M;38;Massachusetts
Nissan;Sedan;2.0;Srebrny;358494;2011;K;41;Alabama
Cadilac;Kabriolet;2.5;Fioletowy;111802;2017;K;26;Vermont
Ford;Kombi;4.0;Czerwony;259668;2012;K;69;Louisiana
Ford;Minivan;4.5;Niebieski;343243;2013;K;62;Delaware
Toyota;Hatch-back;2.5;Srebrny;235201;2010;M;56;Ohio
Honda;Sedan;2.0;Niebieski;220701;2008;K;29;Vermont
Dodge;Minivan;3.0;Czerwony;78942;2019;M;22;Illinois
Volkswagen;Pick-up;3.0;Rozowy;61098;2011;M;35;North Dakota
Mercedes;Pick-up;1.5;Zolty;373974;2018;M;65;Alabama
Ford;Hatch-back;2.0;Bialy;309787;2012;K;27;Massachusetts
BMW;Pick-up;3.5;Srebrny;146911;2015;K;50;Maryland
Chevrolet;Kabriolet;2.0;Niebieski;160408;2017;K;61;Alabama
Mercedes;Cupe;2.5;Czerwony;252495;2016;M;61;Massachusetts
Audi;Pick-up;2.5;Szary;432405;2019;M;51;Mississippi
Chevrolet;SUV;2.5;Czerwony;171307;2012;M;40;Arkansas
Honda;SUV;2.0;Niebieski;352873;2015;M;42;Wisconsin
Volkswagen;Hatch-back;3.5;Srebrny;488681;2012;M;58;New Mexico
Audi;Sedan;2.5;Zolty;73840;2019;M;22;Wisconsin
Mercedes;Minivan;2.0;Szary;465345;2020;M;42;Michigan
Mercedes;Sedan;1.5;Brazowy;271090;2010;M;24;North Carolina
Toyota;Cupe;4.0;Szary;453105;2009;M;61;Nevada
Nissan;Sedan;2.5;Zielony;105376;2018;M;59;New Mexico
Toyota;Kombi;2.5;Zolty;311386;2012;K;66;New Jersey
Volkswagen;Minivan;4.0;Bialy;181458;2018;K;55;South Carolina
Mercedes;Kombi;3.5;Czerwony;125838;2018;K;47;Colorado
Ford;SUV;3.0;Srebrny;345035;2016;K;31;South Dakota
Mercedes;Sedan;3.0;Srebrny;380181;2008;K;62;Oregon
Honda;Minivan;4.0;Srebrny;203876;2014;K;60;Rhode Island
Toyota;Kabriolet;2.0;Srebrny;336771;2020;K;21;Florida
Honda;Kombi;4.0;Zielony;105606;2019;M;59;Mississippi
Nissan;Sedan;4.0;Czarny;38620;2018;M;68;Indiana
BMW;Kombi;4.5;Czarny;490165;2009;M;37;Montana
Dodge;Kombi;1.5;Zielony;150108;2008;K;25;North Carolina
Cadilac;SUV;3.5;Bialy;404292;2020;M;48;Hawaii
Honda;Sedan;3.5;Zolty;286862;2009;K;44;Illinois
Volkswagen;Hatch-back;4.5;Rozowy;94062;2017;M;56;Minnesota
Volkswagen;Hatch-back;5.0;Rozowy;203806;2011;K;66;Kentucky
Chevrolet;Kabriolet;3.5;Rozowy;123692;2016;M;29;Oregon
Chevrolet;Sedan;2.0;Czerwony;390205;2020;M;53;New York
Nissan;Cupe;3.5;Bialy;360351;2008;K;68;South Carolina
Chevrolet;Minivan;3.0;Fioletowy;495532;2017;M;51;New Jersey
Toyota;Cupe;2.0;Czerwony;481085;2008;K;56;Louisiana
Chrysler;Pick-up;4.0;Brazowy;157686;2012;M;37;Connecticut
Audi;Pick-up;5.0;Zielony;203161;2009;K;47;North Carolina
Nissan;Cupe;1.5;Zielony;310283;2020;K;41;New Mexico
Chevrolet;Sedan;4.5;Czarny;171430;2011;K;31;Colorado
Cadilac;Kabriolet;1.5;Szary;351166;2012;K;52;Kentucky
Toyota;Sedan;2.0;Fioletowy;33350;2015;M;36;Alaska
Nissan;Pick-up;3.0;Niebieski;264145;2009;M;37;Louisiana
Cadilac;Minivan;3.5;Zielony;347954;2019;M;44;New Jersey
Honda;SUV;3.5;Niebieski;412500;2019;M;23;Pennsylvania
Cadilac;Kombi;4.0;Brazowy;425094;2019;M;55;Pennsylvania
Toyota;Minivan;3.0;Srebrny;369659;2014;K;61;Ohio
Toyota;Cupe;5.0;Bialy;196802;2013;M;48;West Virginia
Cadilac;Pick-up;5.0;Brazowy;464484;2010;K;61;West Virginia
Audi;Hatch-back;2.5;Brazowy;399139;2008;M;51;Louisiana
Dodge;SUV;3.5;Rozowy;114045;2012;M;67;Alaska
Ford;Sedan;4.5;Szary;209690;2014;M;67;Colorado
Ford;Sedan;5.0;Srebrny;343617;2010;K;37;Pennsylvania
Dodge;Kabriolet;2.5;Zolty;277706;2010;M;47;Arizona
Volkswagen;Kabriolet;3.0;Szary;234547;2014;K;51;New York
BMW;SUV;5.0;Srebrny;366097;2010;K;37;South Dakota
Volkswagen;Sedan;5.0;Zolty;296886;2016;K;21;Wyoming
Ford;Sedan;2.5;Srebrny;449726;2016;K;25;Idaho
BMW;Kombi;3.0;Zolty;112618;2011;K;47;Connecticut
BMW;Pick-up;2.5;Rozowy;120896;2018;M;68;Georgia
Dodge;Sedan;4.5;Rozowy;286384;2019;K;28;Kansas
Chevrolet;Minivan;2.5;Brazowy;311719;2013;K;50;Indiana
Mercedes;Kombi;4.5;Szary;425266;2008;M;50;Colorado
Nissan;Sedan;3.5;Fioletowy;353653;2013;M;25;Wisconsin
Audi;Minivan;4.5;Szary;436727;2012;K;36;Maine
Honda;SUV;4.0;Zolty;445072;2008;K;65;Georgia
Ford;Sedan;4.0;Srebrny;419213;2011;M;68;Illinois
Audi;SUV;3.0;Czerwony;375262;2013;K;30;Vermont
